Country,1938,1939,1940,1941,1942,1943,1944,1945,Total
Afghanistan,68490736,,,,,,,,68490736
Albania,31736162,71134299,,,,,74754221,81603504,259228186
Argentina,422677608,600771114,704153274,733830630,859075916,488278535,1828392239,2386062912,8023242228
Australia,556286545,683190751,1807200494,5189561760,9025256835,15154794260,14331305190,11812302230,58559898065
Austria,419274781,,,,,,,,419274781
Belgium,638408786,644272631,2915213492,,,,,4466936357,8664831266
Bolivia,43388573,30158743,,31529537,53189172,44725825,,,202991850
Brazil,571664901,646717108,754314677,735491073,1112358102,911906630,1175688933,1362286706,7270428130
Bulgaria,195526259,193062805,347674924,,,,,,736263988
Canada,356256841,1280295149,7353983887,9796421452,20287430350,32130256680,29574365310,21203581130,1.21983E+11
Chile,186862681,176572766,312320201,341286953,360945251,518198916,547952688,698444505,3142583961
China,1041558001,1769750864,2191680592,2301976959,539442728,2775443651,1596830506,1819342729,14036026030
Colombia,74811715,234975410,85757867,80861658,79897372,74562560,100766339,118235154,849868075
Costa Rica,4604419,5072291,,,8328834,10363811,12385556,10886834,51641745
Cuba,185640894,188194220,175423892,,138033155,,,,687292161
Czechoslovakia,2034214243,2737224177,,,,,,2432642326,7204080746
Denmark,223142677,299081836,362471530,,,,,379535082,1264231125
Dominican Republic,19185080,19352114,,,18466763,19698769,25644715,28442649,130790090
Ecuador,12571276,19494709,,15727031,14568904,20995291,28902353,40379967,152639531
Egypt,348310179,121347943,144581680,167912237,175534755,217849148,218335232,195756095,1589627269
El Salvador,14540271,15074279,,,12803506,11292288,11936508,14332740,79979592
Estonia,59857450,52179412,48670662,,,,,,160707524
Finland,276578174,697602984,903952787,885242221,872832037,839870197,861339105,843395376,6180812881
France,9282388010,10426216470,57491836430,5707978293,6484857739,,9912388521,9792651313,1.09098E+11
Nazi Germany,74873945510,1.22224E+11,2.13538E+11,2.72652E+11,3.22491E+11,3.74737E+11,4.14234E+11,84739039840,1.87949E+12
Greece,304154202,507066139,625959908,753057798,,,,685186124,2875424171
Guatemala,19185080,19148408,,,16605229,,15512562,,70451279
Haiti,17771443,17926169,,14236407,13188048,,,,63122067
Honduras,10097411,11152929,10475474,,10347680,10104507,9315702,9685144,71178847
Hungary,462946081,589332996,,1043012552,,2025250950,3540440261,,7660982840
Iran,252637213,239793068,244259840,,,227343035,251646419,245288006,1460967581
Iraq,79002141,70737071,69007182,,,,,,218746394
Ireland,83939774,111447809,178123341,183620400,218376247,237481000,255295953,277924633,1546209157
Italy,7533173181,6818177697,6109245814,5106218873,4312780111,3454444749,2794041079,2430533399,38558614903
Japan,17157621070,17314744190,18767022400,27641809120,38578955810,58467879080,1.40653E+11,31852591750,3.50433E+11
Latvia,91765268,85882647,80419405,,,,,,258067320
Liberia,,,,717009,,,,,717009
Lithuania,145392615,114381182,99124169,,,,,,358897966
Luxembourg,6007959,9930690,11764763,,,,11528283,13990536,53222231
Mexico,232573658,189447015,182776868,213527232,215789327,252997440,268783718,278370293,1834265551
Mongolia,236279408,,,,,,,,236279408
Netherlands,761263980,1163500046,1696442507,,,,,1539524042,5160730575
New Zealand,111667264,72112090,99073806,1139195565,1961462141,3414787906,4047309153,3418768231,14264376156
Nicaragua,,,,,,,7421536,,7421536
Norway,127479809,696890011,899863324,,,,,882088202,2606321346
Panama,454383,437969,433121,,,34629683,,,35955156
Paraguay,21911381,17457644,,,,,,,39369025
Peru,87675816,75096389,72643380,75031241,88060154,108347413,128868570,145324907,781047870
Poland,1529969752,9864200507,,,,,,14241745360,25635915619
Portugal,257595042,290617832,312491434,341626589,344654647,344874842,356470517,366260784,2614591687
Romania,879393587,836866910,,,,,,,1716260497
U.S.S.R,54828778020,60950227920,61898102640,64948081690,64010153130,66737397280,66088112070,68353686460,5.07815E+11
Serbia,646617980,1003396948,1223374150,1691802115,,,1727503433,2261365690,8554060316
South Africa,162962110,84762261,290351924,1064570000,2535880726,1659790685,1645148056,1643665202,9087130964
Spain,806197458,839912322,882568720,849155902,816050892,823149246,837376278,952773040,6807183858
Sweden,732445970,1005709016,1063895138,1403083259,1638053448,1658159577,1713264533,1721472639,10936083580
Switzerland,289482665,420205702,489859332,520529823,532975428,578114960,609341612,678803639,4119313161
Thailand,124864580,111457994,105903009,206196756,,,,,548422339
Turkey,823423640,604712835,797505860,1021294720,,605651414,723154833,3156847563,7732590865
United Kingdom,18821543070,80419962460,1.00205E+11,1.06427E+11,1.17798E+11,1.2862E+11,1.32709E+11,1.35306E+11,8.20306E+11
United States,11425210000,9981616915,16690249690,59445724650,2.27238E+11,6.03167E+11,7.10312E+11,7.16239E+11,2.3545E+12
Uruguay,51315041,36371790,,,109813004,,,,197499835
Venezuela,125823834,127469322,116831748,100466199,90647074,85085299,91932343,109369706,847625525
