Country,Sum_of_infantry_weapon,Sum_of_ship,Sum_of_aircraft,Sum_of_vehicle,Column1,Column2,Column3,Column4,Sum_of_sd
Argentina,0,25,1,17,-1.079426103,-0.207982997,-0.326815097,-0.359064177,-1.973288374
Australia,0,14,5,553,-1.079426103,-0.274250682,-0.326677078,-0.354170542,-2.034524406
Belgium,23,1,3,659,-0.200971499,-0.352567038,-0.326746087,-0.353202771,-1.233487395
Brazil,32,8,2,0,0.142771608,-0.310396693,-0.326780592,-0.359219386,-0.853625063
Canada,30,193,9,417235,0.066384251,0.804105295,-0.32653906,3.450101276,3.994051762
Chile,0,21,0,0,-1.079426103,-0.232080337,-0.326849601,-0.359219386,-1.997575427
China,73,12,1,410,1.708712425,-0.286299352,-0.326815097,-0.35547612,0.740121855
Colombia,0,2,0,0,-1.079426103,-0.346542703,-0.326849601,-0.359219386,-2.112037794
Cuba,0,2,0,0,-1.079426103,-0.346542703,-0.326849601,-0.359219386,-2.112037794
Croatia,25,0,0,0,-0.124584142,-0.358591373,-0.326849601,-0.359219386,-1.169244502
Czechoslovakia,24,0,57,1943,-0.16277782,-0.358591373,-0.32488284,-0.341479958,-1.187731992
Denmark,19,7,2,15,-0.16277782,-0.358591373,-0.32488284,-0.341479958,-1.187731992
Egypt,0,3,0,0,-1.079426103,-0.340518368,-0.326849601,-0.359219386,-2.106013458
Estonia,9,0,1,0,-0.735682997,-0.358591373,-0.326815097,-0.359219386,-1.780308853
Finland,71,3,8,110,1.632325068,-0.340518368,-0.326573564,-0.358215095,0.60701804
France,41,46,3912,13045,0.486514714,-0.08147196,-0.191867669,-0.240119627,-0.026944542
Greece,33,17,0,0,0.180965286,-0.256177677,-0.326849601,-0.359219386,-0.761281378
India,0,39,0,4655,-1.079426103,-0.123642306,-0.326849601,-0.316719625,-1.846637635
Latvia,10,0,1,0,-0.697489319,-0.358591373,-0.326815097,-0.359219386,-1.742115174
Lithuania,18,0,1,0,-0.391939891,-0.358591373,-0.326815097,-0.359219386,-1.436565747
Luxembourg,14,0,0,0,-0.544714605,-0.358591373,-0.326849601,-0.359219386,-1.589374965
Malaysia,47,0,0,0,0.715676785,-0.358591373,-0.326849601,-0.359219386,-0.328983576
Mexico,17,0,0,0,-0.430133569,-0.358591373,-0.326849601,-0.359219386,-1.47479393
Mongolia,6,0,0,0,-0.850264032,-0.358591373,-0.326849601,-0.359219386,-1.894924393
Netherlands,26,28,52,64,-0.086390463,-0.189909991,-0.325055363,-0.358635071,-0.959990889
New Zealand,16,4,0,1512,-0.468327248,-0.334494033,-0.326849601,-0.345414952,-1.475085834
Norway,18,12,3,1,-0.391939891,-0.286299352,-0.326746087,-0.359210256,-1.364195587
Poland,57,11,262,1208,1.097613569,-0.292323688,-0.3178094,-0.348190447,0.139290035
South Africa,13,3,0,5746,-0.582908283,-0.340518368,-0.326849601,-0.306758886,-1.557035139
Sweden,0,9,3,0,-1.079426103,-0.304372358,-0.326746087,-0.359219386,-2.069763934
Thailand,26,2,2,106,-0.086390463,-0.346542703,-0.326780592,-0.358251615,-1.117965373
Turkey,0,0,1,0,-1.079426103,-0.358591373,-0.326815097,-0.359219386,-2.124051959
UK,51,790,114740,226447,0.868451498,4.400633333,3.632206366,1.708222789,10.60951399
US,58,637,133387,235008,1.135807248,3.478910067,4.275613344,1.786384003,10.67671466
USSR,56,16,57556,445850,1.059419891,-0.262202012,1.659096235,3.711353833,6.167667947
Yugoslavia,39,5,13,5,0.410127357,-0.328469698,-0.326401042,-0.359173736,-0.603917119
Bulgaria,24,1,6,473,-0.16277782,-0.352567038,-0.326642574,-0.354900936,-1.196888367
Hungary,43,0,5,3458,0.562902071,-0.358591373,-0.326677078,-0.327648135,-0.450014516
Italy,55,38,8378,7305,1.021226212,-0.129666641,-0.037770196,-0.292525347,0.561264028
Japan,68,96,20845,8620,1.517744032,0.219744794,0.392398452,-0.280519507,1.849367771
Nazi Germany,121,440,58446,277742,3.542008991,2.292116058,1.689805315,2.17654185,9.700472214
Romania,24,15,149,316,-0.16277782,-0.268226347,-0.321708418,-0.356334332,-1.109046918
,,,,,,,,,
average,28.26190476,59.52380952,9472.642857,39345.30952,,,,,
SD,26.18234326,165.993423,28981.65647,109530.0283,,,,,
